10,sim/multiplay/protocol-version,INT,SHORTINT,V1_1_PROP_ID
100,surface-positions/left-aileron-pos-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
101,surface-positions/right-aileron-pos-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
102,surface-positions/elevator-pos-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
103,surface-positions/rudder-pos-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
104,surface-positions/flap-pos-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
105,surface-positions/speedbrake-pos-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
106,gear/tailhook/position-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
107,gear/launchbar/position-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
108,gear/launchbar/state,STRING,same,V1_1_2_PROP_ID
109,gear/launchbar/holdback-position-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
110,canopy/position-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
111,surface-positions/wing-pos-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
112,surface-positions/wing-fold-pos-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
200,gear/gear[0]/compression-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
201,gear/gear[0]/position-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
210,gear/gear[1]/compression-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
211,gear/gear[1]/position-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
220,gear/gear[2]/compression-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
221,gear/gear[2]/position-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
230,gear/gear[3]/compression-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
231,gear/gear[3]/position-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
240,gear/gear[4]/compression-norm,FLOAT,SHORT_FLOAT_NORM,V1_1_PROP_ID
